AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-2334,4430,-696,-1398,-5126,11350,5716,-4908,-3926,2158,230,-6607,-2938,-2918,6462,175,-246,776,5.07,435,2207,79.7
6220,-456,-2800,-2593,2,4593,5016,-1518,-2742,3563,175,-6349,-2894,-2878,7780,78,317,367,5.08,381,1938,79.7
6356,-2196,-2746,-2623,1407,4648,5754,1692,-2224,3870,698,-6312,-1406,-3070,8112,34,148,106,5.07,440,2232,79.8
4068,-3358,-3150,-2327,2356,6189,6448,4014,-2450,4608,122,-5368,-2140,-2020,7278,10,261,206,5.07,425,2157,79.8
5260,-5792,-3072,-2953,2654,4295,7554,10172,-1606,4114,973,-2906,-1688,-1738,6956,21,404,260,5.08,376,1913,79.8
2838,-7606,-2256,-3078,849,4307,7250,11266,-1320,2657,1652,-1392,-1200,-1704,6710,23,337,257,5.07,430,2182,79.9
3280,-10370,-2672,-2590,806,1784,6828,12098,-222,-295,2194,966,-1080,-1660,6204,-16,271,215,5.08,381,1938,79.9
4858,-11052,-2706,-2162,2345,-671,6014,11378,496,-1882,1257,1740,-1300,-1592,5788,-45,289,264,5.08,440,2236,79.9
3672,-11758,-3444,-1112,2702,-2008,5472,9708,306,-3178,197,2733,-1088,-2076,5696,-93,211,188,5.07,430,2182,80
3740,-10706,-2488,1305,1290,-2231,4936,5802,-602,-4220,-603,4756,-1200,-2418,5896,-156,338,-130,5.08,371,1888,80
3568,-9154,-2480,2381,379,-3063,4916,4592,-1342,-4851,-537,5576,-1526,-2484,5860,-175,448,-297,5.07,425,2157,80.1
3226,-7700,-2332,3022,385,-4106,4216,2802,-1228,-5328,-141,6271,-1784,-2586,5908,-201,517,-427,5.07,425,2157,80.1
2062,-5598,-2430,3608,316,-6409,2256,-2404,-2058,-5432,-60,6926,-1738,-2518,6006,-259,703,-613,5.08,386,1963,80.1
2002,-3404,-2490,3942,236,-7619,1466,-5740,-2708,-4960,-405,6873,-1734,-2480,6180,-319,793,-709,5.07,430,2182,80.2
1862,1366,-2488,4752,1845,-8934,790,-12228,-3990,-4121,-1334,6208,-1694,-2370,6014,-381,924,-828,5.08,386,1963,80.2
2016,4818,-1624,4901,1655,-8840,1378,-14884,-3852,-3771,-2375,5559,-1254,-2220,6438,-396,986,-881,5.06,435,2203,80.2
2834,9388,-1080,4430,1158,-8780,2540,-16234,-4806,-3111,-1982,5283,-1116,-1680,7220,-377,1064,-944,5.07,445,2256,80.3
5084,18452,304,2135,1200,-8274,7914,-11046,-7590,-6226,9997,-6984,-1032,-570,10172,-186,795,-1080,5.08,376,1913,80.3
6164,22232,1182,766,323,-6678,-2504,-21040,-9448,-1610,4885,4575,-1206,192,12018,-40,432,-1065,5.07,445,2256,80.3
7488,24256,1370,-298,396,-5043,4470,-21496,-10588,243,-1916,2842,-1804,772,12276,77,107,-863,5.07,425,2157,80.4
7188,25944,2520,-357,1126,-1041,4168,-20340,-8084,1381,-5735,576,-2098,360,9528,218,-506,23,5.08,381,1938,80.4
6284,24874,4106,-153,486,1729,5610,-17682,-5766,1735,-3010,-926,-1834,42,8316,189,-745,418,5.08,420,2137,80.5
6168,22676,5412,-222,-721,3739,3384,-15048,-5102,2095,908,-2656,-1948,-162,6988,153,-866,766,5.07,435,2207,80.5
5132,17146,5046,-536,-1946,5842,3284,-13148,-4920,2771,1328,-4015,-1934,-1592,5106,100,-986,1171,5.08,376,1913,80.5
